農會漁會別,總部分支機構別,金融代號,郵遞區號,所在縣市,住址,電話
"新竹市農會","信用部","940-0016","300","新竹市","新竹市中山路598號","03-5386143"
"新竹市農會","民權分部","940-0049","300","新竹市","新竹市民族路164-1號","03-5322215"
"新竹市農會","樹林頭分部","940-0050","300","新竹市","新竹市東大路2段575號","03-5311236"
"新竹市農會","光華分部","940-0094","300","新竹市","新竹市中華路1段252號","03-5427750"
"新竹市農會","新興分部","940-0072","300","新竹市","新竹市南大路637號","03-5242959"
"新竹市農會","光復分部","940-0061","300","新竹市","新竹市光復路1段609號","03-5780585"
"新竹市農會","虎林分部","940-0083","300","新竹市","新竹市延平路2段225號","03-5307166"
"新竹市農會","三姓橋分部","940-0027","300","新竹市","新竹市中華路5段67-1號","03-5383050"
"新竹市農會","內湖分部","940-0038","300","新竹市","新竹市中華路6段274號","03-5371838"
"新竹市新竹區漁會","信用部","507-0013","300","新竹市","新竹市東大路4段279號","03-5362329"
